source	target	weigh	bootscore	confidence
m__hmdb01895	streptococcus_salivarius	-0.575414446	1	0.575414446
nadh dehydrogenase quinone	nadh dehydrogenase quinone	0.575405111	1	0.575405111
glycerol kinase	glycerol kinase	0.571044445	1	0.571044445
3-hydroxyacyl-coa dehydrogenase	3-hydroxyacyl-coa dehydrogenase	0.570392904	1	0.570392904
anaerotruncus_colihominis	3-methyl-2-oxobutanoate hydroxymethyltransferase	0.600250845	0.95	0.570238303
m__hmdb01257	m__hmdb01257	0.565489272	1	0.565489272
pseudomonas_unclassified	l-lactate dehydrogenase	0.720726115	0.78	0.56216637
lachnospiraceae_bacterium_3_1_57faa_ct1	lachnospiraceae_bacterium_3_1_57faa_ct1	0.561854521	1	0.561854521
clostridiaceae_bacterium_jc118	glutamate decarboxylase	-0.705245521	0.79	0.557143961
bifidobacterium_longum	bifidobacterium_longum	0.556750677	1	0.556750677
m__hmdb01895	dorea_longicatena	0.63933685	0.87	0.55622306
adenosylmethionine-8-amino-7-oxononanoate transaminase	adenosylmethionine-8-amino-7-oxononanoate transaminase	0.554432038	1	0.554432038
pyruvate carboxylase	pyruvate carboxylase	0.549977663	1	0.549977663
pseudomonas_unclassified	peroxiredoxin	0.566226575	0.97	0.549239777
m__hmdb01232	bacteroides_xylanisolvens	0.581222335	0.93	0.540536772
clostridiaceae_bacterium_jc118	formate-c-acetyltransferase-activating enzyme	0.633877308	0.85	0.538795712
collinsella_aerofaciens	collinsella_aerofaciens	0.538111399	1	0.538111399
m__hmdb00725	streptococcus_thermophilus	-0.60616539	0.88	0.533425543
endopeptidase clp	endopeptidase clp	0.532782899	1	0.532782899
pseudomonas_unclassified	nadh dehydrogenase quinone	0.7092955	0.75	0.531971625
m__hmdb00128	sutterella_wadsworthensis	0.527011249	1	0.527011249
m__hmdb00873	roseburia_inulinivorans	0.673387096	0.78	0.525241935
parabacteroides_distasonis	parabacteroides_distasonis	0.520192235	1	0.520192235
2-c-methyl-d-erythritol 2:4-cyclodiphosphate synthase	2-c-methyl-d-erythritol 2:4-cyclodiphosphate synthase	0.504878226	1	0.504878226
hydroxylamine reductase	m__hmdb02322	-0.531009027	0.95	0.504458575
bacteroides_uniformis	bacteroides_uniformis	0.501606478	1	0.501606478
pyridoxal 5-phosphate synthase	pyridoxal 5-phosphate synthase	0.5011338	1	0.5011338
flavonifractor_plautii	h+-transporting two-sector atpase	0.499116103	1	0.499116103
escherichia_unclassified	escherichia_unclassified	0.498961854	1	0.498961854
m__hmdb01991	m__hmdb01991	0.498644518	1	0.498644518
eggerthella_unclassified	glucose-6-phosphate dehydrogenase nadp+	0.803674288	0.62	0.498278059
coprococcus_comes	16s rrna cytosine1402-n4-methyltransferase	0.535680101	0.93	0.498182494
clostridium_bartlettii	fructose-bisphosphate aldolase	0.5756166	0.86	0.495030276
flavonifractor_plautii	3-methyl-2-oxobutanoate hydroxymethyltransferase	0.494733087	1	0.494733087
lachnospiraceae_bacterium_3_1_57faa_ct1	pyridoxine 5-phosphate synthase	-0.492393631	1	0.492393631
cytochrome-c oxidase	cytochrome-c oxidase	0.489302615	1	0.489302615
glutamate dehydrogenase nadp+	glutamate dehydrogenase nadp+	0.489134126	1	0.489134126
bacteroides_cellulosilyticus	bacteroides_cellulosilyticus	0.487449416	1	0.487449416
flavonifractor_plautii	phosphogluconate dehydrogenase nadp+-dependent decarboxylating	0.480078792	1	0.480078792
m__hmdb00118	alistipes_onderdonkii	0.542430586	0.88	0.477338916
m__hmdb01169	parabacteroides_merdae	0.954614012	0.5	0.477307006
roseburia_hominis	roseburia_hominis	0.47359332	1	0.47359332
ruminococcus_obeum	ruminococcus_obeum	0.473478603	1	0.473478603
pseudomonas_unclassified	pyridoxal 5-phosphate synthase glutamine hydrolyzing	-0.471221131	1	0.471221131
m__hmdb00764	bifidobacterium_adolescentis	0.522797965	0.9	0.470518169
flavonifractor_plautii	phosphoenolpyruvate carboxykinase atp	-0.46945915	1	0.46945915
m__hmdb00251	m__hmdb00251	0.465808662	1	0.465808662
h+-transporting two-sector atpase	h+-transporting two-sector atpase	0.463522953	1	0.463522953
m__hmdb00251	m__hmdb00251	0.461169509	1	0.461169509
m__hmdb01895	roseburia_unclassified	0.609595883	0.75	0.457196912
pseudomonas_unclassified	nadh	-0.575525448	0.79	0.454665104
m__hmdb00452	collinsella_aerofaciens	0.459796424	0.98	0.450600495
glyceraldehyde-3-phosphate dehydrogenase phosphorylating	glyceraldehyde-3-phosphate dehydrogenase phosphorylating	0.449177835	1	0.449177835
streptococcus_salivarius	serine o-acetyltransferase	0.447592361	1	0.447592361
veillonella_dispar	veillonella_dispar	0.446617215	1	0.446617215
serine o-acetyltransferase	serine o-acetyltransferase	0.444500631	1	0.444500631
sutterella_wadsworthensis	sutterella_wadsworthensis	0.444309352	1	0.444309352
;  q06996: l_sendf    ;  o55528: l_sendo	m__hmdb02329	-0.877031113	0.5	0.438515556
lachnospiraceae_bacterium_3_1_46faa	lachnospiraceae_bacterium_3_1_46faa	0.438465224	1	0.438465224
pyridoxine 5-phosphate synthase	pyridoxine 5-phosphate synthase	0.435055774	1	0.435055774
streptococcus_salivarius	pyruvate carboxylase	-0.434201334	0.98	0.425517307
streptococcus_salivarius	streptococcus_salivarius	0.423434899	1	0.423434899
lachnospiraceae_bacterium_3_1_57faa_ct1	phosphopyruvate hydratase	0.501871391	0.84	0.421571968
phosphogluconate dehydrogenase nadp+-dependent decarboxylating	phosphogluconate dehydrogenase nadp+-dependent decarboxylating	0.418457432	1	0.418457432
alistipes_onderdonkii	alistipes_onderdonkii	0.417947791	1	0.417947791
phosphoenolpyruvate carboxykinase atp	phosphoenolpyruvate carboxykinase atp	0.416035515	1	0.416035515
phosphoglycerate mutase 2:3-diphosphoglycerate-dependent	phosphoglycerate mutase 2:3-diphosphoglycerate-dependent	0.414192424	1	0.414192424
lachnospiraceae_bacterium_1_1_57faa	methionyl aminopeptidase	0.414184125	1	0.414184125
pseudomonas_unclassified	dna-directed rna polymerase	-0.600162276	0.69	0.414111971
m__hmdb00094	alistipes_shahii	0.626550536	0.66	0.413523354
peptidylprolyl isomerase	peptidylprolyl isomerase	0.41224099	1	0.41224099
bacteroides_eggerthii	pyridoxal 5-phosphate synthase	0.412137675	1	0.412137675
m__hmdb00244	clostridium_symbiosum	0.704817538	0.58	0.408794172
coprobacillus_unclassified	coprobacillus_unclassified	0.406541011	1	0.406541011
m__hmdb00156	alistipes_finegoldii	0.404460813	1	0.404460813
dihydrolipoyl dehydrogenase	dihydrolipoyl dehydrogenase	0.396734	1	0.396734
ribulose-bisphosphate carboxylase	ribulose-bisphosphate carboxylase	0.396674471	1	0.396674471
clostridium_symbiosum	clostridium_symbiosum	0.391189904	1	0.391189904
streptococcus_thermophilus	streptococcus_thermophilus	0.390018619	1	0.390018619
ribulose-phosphate 3-epimerase	ribulose-phosphate 3-epimerase	0.389792238	1	0.389792238
bacteroides_xylanisolvens	bacteroides_xylanisolvens	0.389648456	1	0.389648456
3-hydroxyacyl-coa dehydrogenase	3-hydroxyacyl-coa dehydrogenase	0.388830673	1	0.388830673
m__hmdb00020	prevotella_copri	0.395385695	0.98	0.387477981
m__hmdb03464	roseburia_intestinalis	0.61490003	0.63	0.387387019
histidine kinase	histidine kinase	0.386753351	1	0.386753351
;  q06996: l_sendf    ;  o55528: l_sendo	m__hmdb00251	-0.536864007	0.72	0.386542085
lachnospiraceae_bacterium_3_1_46faa	lachnospiraceae_bacterium_3_1_46faa	0.384584186	1	0.384584186
parabacteroides_unclassified	parabacteroides_unclassified	0.382088173	1	0.382088173
klebsiella_pneumoniae	klebsiella_pneumoniae	0.380390645	1	0.380390645
roseburia_unclassified	phosphoglycerate mutase 2:3-diphosphoglycerate-dependent	0.408382943	0.93	0.379796137
pseudomonas_unclassified	ribulose-phosphate 3-epimerase	0.548848665	0.69	0.378705579
ruminococcus_obeum	methionyl aminopeptidase	0.497872161	0.76	0.378382843
m__hmdb02322	m__hmdb02322	0.376673282	1	0.376673282
lachnospiraceae_bacterium_5_1_63faa	2-c-methyl-d-erythritol 4-phosphate cytidylyltransferase	0.376190012	1	0.376190012
pyruvate carboxylase	pyruvate carboxylase	0.375094719	1	0.375094719
pyridoxal 5-phosphate synthase glutamine hydrolyzing	pyridoxal 5-phosphate synthase glutamine hydrolyzing	0.372412842	1	0.372412842
alistipes_shahii	alistipes_shahii	0.370232032	1	0.370232032
nadh	nadh	0.36932503	1	0.36932503
haemophilus_parainfluenzae	phosphoglycerate kinase	0.368603036	1	0.368603036
bacteroides_caccae	bacteroides_caccae	0.368457529	1	0.368457529
shikimate kinase	shikimate kinase	0.366264681	1	0.366264681
m__hmdb00251	bacteroides_finegoldii	0.367408088	0.99	0.363734007
lachnospiraceae_bacterium_3_1_57faa_ct1	pyridoxine 5-phosphate synthase	-0.368755441	0.98	0.361380333
m__hmdb01232	bacteroides_faecis	0.712675381	0.5	0.35633769
alistipes_finegoldii	alistipes_finegoldii	0.356141505	1	0.356141505
m__hmdb00511	alistipes_putredinis	0.48565875	0.73	0.354530887
m__hmdb00251	bacteroides_finegoldii	0.35809933	0.99	0.354518337
dephospho-coa kinase	dephospho-coa kinase	0.354106885	1	0.354106885
lachnospiraceae_bacterium_5_1_63faa	glutamate dehydrogenase nadp+	0.465368054	0.76	0.353679721
m__hmdb00296	roseburia_hominis	-0.382716211	0.92	0.352098914
barnesiella_intestinihominis	uridine kinase	0.349181036	1	0.349181036
anaerotruncus_colihominis	phosphoenolpyruvate carboxykinase atp	-0.710407407	0.49	0.348099629
2-c-methyl-d-erythritol 4-phosphate cytidylyltransferase	2-c-methyl-d-erythritol 4-phosphate cytidylyltransferase	0.345639879	1	0.345639879
m__hmdb00812	roseburia_inulinivorans	-0.932344372	0.37	0.344967417
dorea_longicatena	dorea_longicatena	0.344686704	1	0.344686704
clostridium_symbiosum	phosphoglycerate mutase 2:3-diphosphoglycerate-dependent	0.344681403	1	0.344681403
m__hmdb00222	clostridium_clostridioforme	0.343522412	1	0.343522412
eubacterium_ramulus	enoyl-coa hydratase	-0.343140659	1	0.343140659
;  q06996: l_sendf    ;  o55528: l_sendo	m__hmdb00251	-0.532407971	0.64	0.340741101
aldose 1-epimerase	aldose 1-epimerase	0.33693163	1	0.33693163
m__hmdb00118	lachnospiraceae_bacterium_3_1_46faa	0.400461469	0.84	0.336387634
dephospho-coa kinase	dephospho-coa kinase	0.335999044	1	0.335999044
bacteroides_stercoris	bacteroides_stercoris	0.33222906	1	0.33222906
glutamate dehydrogenase	glutamate dehydrogenase	0.33137285	1	0.33137285
burkholderiales_bacterium_1_1_47	burkholderiales_bacterium_1_1_47	0.330462796	1	0.330462796
flavonifractor_plautii	phosphoglycerate mutase 2:3-diphosphoglycerate-dependent	0.351008061	0.93	0.326437496
m__hmdb01895	erysipelotrichaceae_bacterium_6_1_45	-0.325227344	1	0.325227344
m__hmdb00873	flavonifractor_plautii	-0.323828188	1	0.323828188
dna-directed rna polymerase	dna-directed rna polymerase	0.323268842	1	0.323268842
3-hydroxybutyryl-coa dehydrogenase	3-hydroxybutyryl-coa dehydrogenase	0.319324483	1	0.319324483
methionyl aminopeptidase	methionyl aminopeptidase	0.318590501	1	0.318590501
eubacterium_ramulus	5-formyltetrahydrofolate cyclo-ligase	-0.321173879	0.99	0.31796214
m__hmdb00118	bacteroides_thetaiotaomicron	0.622752261	0.51	0.317603653
fructose-bisphosphate aldolase	fructose-bisphosphate aldolase	0.316946116	1	0.316946116
m__hmdb00699	lachnospiraceae_bacterium_3_1_46faa	0.358328158	0.88	0.315328779
;  q06996: l_sendf    ;  o55528: l_sendo	m__hmdb00101	0.983360201	0.32	0.314675264
akkermansia_muciniphila	akkermansia_muciniphila	0.313812028	1	0.313812028
lachnospiraceae_bacterium_5_1_63faa	adenosylmethionine-8-amino-7-oxononanoate transaminase	0.401537281	0.78	0.313199079
erysipelotrichaceae_bacterium_6_1_45	peroxiredoxin	0.322266128	0.97	0.312598144
histidine kinase	histidine kinase	0.309002681	1	0.309002681
clostridium_leptum	beta-ketoacyl-acyl-carrier-protein synthase ii	-0.357177169	0.86	0.307172365
glucose-1-phosphate adenylyltransferase	glucose-1-phosphate adenylyltransferase	0.305979009	1	0.305979009
phosphoglycerate mutase 2:3-diphosphoglycerate-dependent	phosphoglycerate mutase 2:3-diphosphoglycerate-dependent	0.304310536	1	0.304310536
hydroxylamine reductase	hydroxylamine reductase	0.302952082	1	0.302952082
16s rrna cytosine1402-n4-methyltransferase	16s rrna cytosine1402-n4-methyltransferase	0.301617197	1	0.301617197
streptococcus_parasanguinis	streptococcus_parasanguinis	0.301590732	1	0.301590732
superoxide dismutase	superoxide dismutase	0.294027207	1	0.294027207
hgr__fabp1	bacteroides_eggerthii	0.293760889	1	0.293760889
ruminococcus_lactaris	ruminococcus_lactaris	0.29357658	1	0.29357658
bacteroides_thetaiotaomicron	bacteroides_thetaiotaomicron	0.293423579	1	0.293423579
clostridium_symbiosum	clostridium_symbiosum	0.291132072	1	0.291132072
clostridiaceae_bacterium_jc118	endopeptidase clp	0.6430091	0.45	0.289354095
flavonifractor_plautii	phosphopyruvate hydratase	0.288491167	1	0.288491167
m__hmdb00296	roseburia_hominis	-0.287144597	1	0.287144597
m__hmdb00098	bilophila_unclassified	-0.286319703	1	0.286319703
propionibacterium_acnes	orotidine-5-phosphate decarboxylase	0.28411658	1	0.28411658
;  q06996: l_sendf    ;  o55528: l_sendo	m__hmdb01232	-0.28409572	1	0.28409572
ribulose-phosphate 3-epimerase	ribulose-phosphate 3-epimerase	0.282358898	1	0.282358898
ubiquinol oxidase electrogenic: non h+-transporting	ubiquinol oxidase electrogenic: non h+-transporting	0.281427882	1	0.281427882
clostridium_symbiosum	glycerate 3-kinase	-0.279833407	1	0.279833407
barnesiella_intestinihominis	uridine kinase	0.281837314	0.99	0.279018941
propionibacterium_acnes	2-c-methyl-d-erythritol 4-phosphate cytidylyltransferase	0.275179556	1	0.275179556
glycerol kinase	m__hmdb01991	0.33874274	0.81	0.274381619
m__hmdb00063	eubacterium_eligens	0.759147105	0.36	0.273292958
veillonella_atypica	3-methyl-2-oxobutanoate hydroxymethyltransferase	-0.266920679	1	0.266920679
pyridoxal 5-phosphate synthase	pyridoxal 5-phosphate synthase	0.266657029	1	0.266657029
m__hmdb00262	roseburia_intestinalis	0.350886268	0.75	0.263164701
m__hmdb00118	roseburia_unclassified	0.263137239	1	0.263137239
m__hmdb00067	alistipes_putredinis	-0.272637924	0.96	0.261732407
l-lactate dehydrogenase	l-lactate dehydrogenase	0.259439401	1	0.259439401
streptococcus_parasanguinis	ribulose-bisphosphate carboxylase	-0.25850209	1	0.25850209
m__hmdb00956	bacteroides_uniformis	0.261553081	0.98	0.25632202
streptococcus_thermophilus	peptidylprolyl isomerase	0.502232923	0.51	0.256138791
veillonella_unclassified	veillonella_unclassified	0.255615847	1	0.255615847
cytochrome-c oxidase	cytochrome-c oxidase	0.253996108	1	0.253996108
m__hmdb00194	ruminococcus_callidus	0.253168772	1	0.253168772
h+-transporting two-sector atpase	h+-transporting two-sector atpase	0.248625745	1	0.248625745
m__hmdb00118	lachnospiraceae_bacterium_3_1_46faa	0.24784392	1	0.24784392
clostridiales_bacterium_1_7_47faa	peptidylprolyl isomerase	0.440815961	0.56	0.246856938
veillonella_unclassified	veillonella_unclassified	0.245842613	1	0.245842613
propionibacterium_acnes	thymidylate synthase	0.242596475	1	0.242596475
bacteroides_fragilis	bacteroides_fragilis	0.241253611	1	0.241253611
clostridium_symbiosum	dna helicase	-0.240605007	1	0.240605007
hgi__anpep	subdoligranulum_unclassified	0.239575587	1	0.239575587
m__hmdb00244	alistipes_finegoldii	0.379846965	0.63	0.239303588
3-methyl-2-oxobutanoate hydroxymethyltransferase	3-methyl-2-oxobutanoate hydroxymethyltransferase	0.238346234	1	0.238346234
m__hmdb00222	clostridium_clostridioforme	0.324518113	0.73	0.236898223
hgi__clca1	bacteroides_uniformis	0.236840441	1	0.236840441
m__hmdb00197	oscillibacter_unclassified	-0.815145604	0.29	0.236392225
4-cytidine 5-diphospho-2-c-methyl-d-erythritol kinase	4-cytidine 5-diphospho-2-c-methyl-d-erythritol kinase	0.234429289	1	0.234429289
alistipes_putredinis	alistipes_putredinis	0.234041919	1	0.234041919
m__hmdb00101	m__hmdb00101	0.231102573	1	0.231102573
hydroxylamine reductase	hydroxylamine reductase	0.228761068	1	0.228761068
propionibacterium_acnes	propionibacterium_acnes	0.22593364	1	0.22593364
adenosylmethionine-8-amino-7-oxononanoate transaminase	adenosylmethionine-8-amino-7-oxononanoate transaminase	0.224843708	1	0.224843708
m__hmdb00063	clostridiales_bacterium_1_7_47faa	0.231156858	0.97	0.224222152
m__hmdb00699	prevotella_copri	0.42399782	0.52	0.220478866
alistipes_onderdonkii	alistipes_onderdonkii	0.218319117	1	0.218319117
endopeptidase clp	endopeptidase clp	0.217812966	1	0.217812966
bacteroides_faecis	bacteroides_faecis	0.216950855	1	0.216950855
alistipes_finegoldii	alistipes_finegoldii	0.215568798	1	0.215568798
nadh dehydrogenase quinone	nadh dehydrogenase quinone	0.214178562	1	0.214178562
streptococcus_parasanguinis	cytochrome-c oxidase	-0.260249747	0.82	0.213404793
collinsella_aerofaciens	s-ribosylhomocysteine lyase	-0.213288977	1	0.213288977
clostridiaceae_bacterium_jc118	4-cytidine 5-diphospho-2-c-methyl-d-erythritol kinase	0.608040939	0.35	0.212814329
lachnospiraceae_bacterium_3_1_57faa_ct1	lachnospiraceae_bacterium_3_1_57faa_ct1	0.21218939	1	0.21218939
3-hydroxybutyryl-coa dehydrogenase	m__hmdb02322	0.235585635	0.9	0.212027071
eubacterium_ramulus	3-hydroxyacyl-coa dehydrogenase	0.345275595	0.61	0.210618113
propionibacterium_acnes	dna-directed rna polymerase	0.210472261	1	0.210472261
lachnospiraceae_bacterium_3_1_57faa_ct1	h+-transporting two-sector atpase	0.443551744	0.47	0.20846932
m__hmdb00195	parabacteroides_distasonis	-0.473760508	0.44	0.208454624
propionibacterium_acnes	2-c-methyl-d-erythritol 4-phosphate cytidylyltransferase	-0.277641334	0.75	0.208231
m__hmdb00020	bacteroides_fragilis	-0.743551377	0.28	0.208194386
l-serine ammonia-lyase	l-serine ammonia-lyase	0.207364343	1	0.207364343
m__hmdb00452	veillonella_unclassified	0.739965781	0.28	0.207190419
streptococcus_parasanguinis	dna-directed rna polymerase	0.361002215	0.57	0.205771262
lachnospiraceae_bacterium_1_1_57faa	lachnospiraceae_bacterium_1_1_57faa	0.205723044	1	0.205723044
fe3+-transporting atpase	fe3+-transporting atpase	0.205427563	1	0.205427563
hgi__hla-dra	escherichia_coli	0.204057821	1	0.204057821
veillonella_dispar	glutamate dehydrogenase	-0.203428283	1	0.203428283
clostridium_bartlettii	3-hydroxybutyryl-coa dehydrogenase	0.468376952	0.43	0.201402089
m__hmdb01895	erysipelotrichaceae_bacterium_6_1_45	-0.204063791	0.98	0.199982515
m__hmdb03357	eubacterium_eligens	-0.99084407	0.2	0.198168814
bacteroides_cellulosilyticus	bacteroides_cellulosilyticus	0.197425491	1	0.197425491
veillonella_dispar	dephospho-coa kinase	-0.197224477	1	0.197224477
m__hmdb00020	streptococcus_parasanguinis	0.518958214	0.38	0.197204121
m__hmdb00118	bacteroides_cellulosilyticus	0.386195039	0.51	0.19695947
3-methyl-2-oxobutanoate hydroxymethyltransferase	m__hmdb04610	0.1965566	1	0.1965566
m__hmdb00094	burkholderiales_bacterium_1_1_47	0.229586868	0.85	0.195148838
m__hmdb00452	alistipes_finegoldii	0.48767584	0.4	0.195070336
m__hmdb00764	alistipes_shahii	0.228290823	0.85	0.194047199
m__hmdb01895	eubacterium_ramulus	0.283009031	0.67	0.189616051
m__hmdb00870	barnesiella_intestinihominis	0.222454269	0.85	0.189086129
bacteroides_dorei	bacteroides_dorei	0.187943924	1	0.187943924
peptidylprolyl isomerase	peptidylprolyl isomerase	0.186204241	1	0.186204241
m__hmdb00452	veillonella_unclassified	0.739020448	0.25	0.184755112
streptococcus_parasanguinis	nadh dehydrogenase quinone	0.344936682	0.53	0.182816441
hgr__fabp1	bacteroides_eggerthii	0.179985571	1	0.179985571
m__hmdb00067	clostridium_symbiosum	0.181147993	0.99	0.179336513
veillonella_dispar	phosphatidate cytidylyltransferase	-0.179335973	1	0.179335973
m__hmdb00019	lachnospiraceae_bacterium_3_1_57faa_ct1	0.437097031	0.41	0.179209783
phosphoenolpyruvate carboxykinase atp	phosphoenolpyruvate carboxykinase atp	0.178244485	1	0.178244485
;  q06996: l_sendf    ;  o55528: l_sendo	m__hmdb00630	-0.234277516	0.75	0.175708137
bacteroides_xylanisolvens	beta-lactamase	0.175687397	1	0.175687397
roseburia_hominis	dihydroorotate dehydrogenase quinone	-0.175651183	1	0.175651183
clostridium_asparagiforme	glycerol kinase	-0.398854927	0.44	0.175496168
triose-phosphate isomerase	triose-phosphate isomerase	0.173472923	1	0.173472923
lachnospiraceae_bacterium_5_1_63faa	orotidine-5-phosphate decarboxylase	0.234017513	0.74	0.17317296
m__hmdb00482	propionibacterium_acnes	0.172954272	1	0.172954272
erysipelotrichaceae_bacterium_6_1_45	nadh	0.264079526	0.65	0.171651692
bacteroides_faecis	bacteroides_faecis	0.171636998	1	0.171636998
beta-ketoacyl-acyl-carrier-protein synthase ii	beta-ketoacyl-acyl-carrier-protein synthase ii	0.171497903	1	0.171497903
m__hmdb00128	sutterella_wadsworthensis	0.244688467	0.7	0.171281927
bifidobacterium_adolescentis	bifidobacterium_adolescentis	0.170482205	1	0.170482205
roseburia_hominis	dihydroorotate dehydrogenase quinone	-0.168984319	1	0.168984319
peroxiredoxin	peroxiredoxin	0.167325729	1	0.167325729
dialister_invisus	dialister_invisus	0.166172587	1	0.166172587
bacteroides_stercoris	bacteroides_stercoris	0.165479904	1	0.165479904
m__hmdb00873	flavonifractor_plautii	-0.164713546	0.99	0.16306641
eubacterium_ramulus	nadh	-0.181392013	0.89	0.161438891
holdemania_filiformis	dna helicase	0.379395282	0.42	0.159346019
m__hmdb01895	burkholderiales_bacterium_1_1_47	0.439681555	0.36	0.15828536
m__hmdb00043	eubacterium_ventriosum	0.156921919	1	0.156921919
nadh	nadh	0.15634941	1	0.15634941
m__hmdb00715	dorea_longicatena	0.178626364	0.87	0.155404937
m__hmdb00619	faecalibacterium_prausnitzii	-0.18885932	0.82	0.154864643
m__hmdb01547	bacteroides_stercoris	0.588776826	0.26	0.153081975
transaldolase	transaldolase	0.15260464	1	0.15260464
m__hmdb01895	propionibacterium_acnes	0.152569649	1	0.152569649
bilophila_unclassified	fe3+-transporting atpase	-0.151444239	1	0.151444239
acetyl-coa c-acetyltransferase	acetyl-coa c-acetyltransferase	0.15032399	1	0.15032399
veillonella_dispar	pyruvate carboxylase	-0.147667276	1	0.147667276
m__hmdb01895	eubacterium_rectale	0.919568391	0.16	0.147130943
ruminococcaceae_bacterium_d16	phosphogluconate dehydrogenase nadp+-dependent decarboxylating	0.145851616	1	0.145851616
enoyl-coa hydratase	enoyl-coa hydratase	0.145552408	1	0.145552408
ruminococcus_callidus	4-cytidine 5-diphospho-2-c-methyl-d-erythritol kinase	0.168209497	0.86	0.144660167
glyceraldehyde-3-phosphate dehydrogenase phosphorylating	glyceraldehyde-3-phosphate dehydrogenase phosphorylating	0.143986539	1	0.143986539
escherichia_coli	escherichia_coli	0.142343604	1	0.142343604
holdemania_unclassified	superoxide dismutase	0.948140168	0.15	0.142221025
m__hmdb00452	bilophila_wadsworthia	-0.144883255	0.98	0.14198559
erysipelotrichaceae_bacterium_6_1_45	dihydrolipoyl dehydrogenase	-0.287791048	0.49	0.141017614
hgi__b2m	bacteroides_dorei	0.144351843	0.96	0.138577769
m__hmdb00630	anaerostipes_hadrus	-0.139880044	0.99	0.138481243
m__hmdb00156	coprococcus_comes	0.166710492	0.82	0.136702603
hgi__anpep	faecalibacterium_prausnitzii	0.145268398	0.94	0.136552294
prevotella_copri	prevotella_copri	0.134285565	1	0.134285565
m__hmdb00043	roseburia_hominis	0.143690469	0.93	0.133632136
parabacteroides_merdae	bacterial non-heme ferritin	0.136896553	0.97	0.132789656
pseudomonas_unclassified	nadh	0.358597089	0.37	0.132680923
bacteroides_thetaiotaomicron	dihydroorotate dehydrogenase quinone	0.131912469	1	0.131912469
m__hmdb00195	streptococcus_parasanguinis	0.434727295	0.3	0.130418188
m__hmdb00812	ruminococcus_torques	-0.927858778	0.14	0.129900229
hgi__clca1	bacteroides_ovatus	0.131553363	0.98	0.128922296
glycerate 3-kinase	m__hmdb00239	0.128767909	1	0.128767909
veillonella_unclassified	glucose-1-phosphate adenylyltransferase	0.126695176	1	0.126695176
lachnospiraceae_bacterium_3_1_46faa	glutamate dehydrogenase	-0.164341709	0.77	0.126543116
m__hmdb00197	eubacterium_rectale	-0.968705255	0.13	0.125931683
hgi__hla-dra	klebsiella_pneumoniae	0.12426267	1	0.12426267
coprobacillus_unclassified	dephospho-coa kinase	0.199623977	0.62	0.123766866
glycerol kinase	m__hmdb00626	0.122902463	1	0.122902463
m__hmdb00020	streptococcus_salivarius	0.12250457	1	0.12250457
parabacteroides_unclassified	phosphatidate cytidylyltransferase	0.121308327	1	0.121308327
l-serine ammonia-lyase	l-serine ammonia-lyase	0.120951299	1	0.120951299
m__hmdb00715	dialister_invisus	0.120861902	1	0.120861902
clostridium_asparagiforme	hydroxylamine reductase	0.215650194	0.56	0.120764109
16s rrna cytosine1402-n4-methyltransferase	16s rrna cytosine1402-n4-methyltransferase	0.120400328	1	0.120400328
m__hmdb00194	ruminococcus_callidus	0.119799681	1	0.119799681
m__hmdb02329	m__hmdb02329	0.118627857	1	0.118627857
cytochrome-c oxidase	m__hmdb00289	-0.123067999	0.96	0.118145279
phosphoglycerate kinase	phosphoglycerate kinase	0.118106558	1	0.118106558
flavonifractor_plautii	transaldolase	0.117333845	1	0.117333845
dna-directed rna polymerase	dna-directed rna polymerase	0.116804437	1	0.116804437
lachnospiraceae_bacterium_3_1_57faa_ct1	2-c-methyl-d-erythritol 2:4-cyclodiphosphate synthase	-0.121970658	0.95	0.115872125
m__hmdb03357	ruminococcus_lactaris	0.578075384	0.2	0.115615077
aspartate ammonia-lyase	aspartate ammonia-lyase	0.115569613	1	0.115569613
anaerostipes_hadrus	methionyl aminopeptidase	0.409794686	0.28	0.114742512
glutamate dehydrogenase nadp+	m__hmdb00956	0.114705466	1	0.114705466
hgi__clca1	bacteroides_dorei	0.128002902	0.89	0.113922583
bacteroides_cellulosilyticus	glucose-6-phosphate dehydrogenase nadp+	0.11573637	0.98	0.113421642
methylaspartate mutase	methylaspartate mutase	0.113140797	1	0.113140797
clostridiales_bacterium_1_7_47faa	dna helicase	0.323115787	0.35	0.113090525
flavonifractor_plautii	peptidylprolyl isomerase	-0.115020776	0.98	0.11272036
2-c-methyl-d-erythritol 4-phosphate cytidylyltransferase	m__hmdb00056	-0.11467147	0.98	0.112378041
peroxiredoxin	peroxiredoxin	0.111507298	1	0.111507298
protein-npi-phosphohistidine-sugar phosphotransferase	protein-npi-phosphohistidine-sugar phosphotransferase	0.110455864	1	0.110455864
hgi__hla-dra	streptococcus_parasanguinis	0.110294581	1	0.110294581
streptococcus_parasanguinis	endopeptidase clp	-0.13433699	0.8	0.107469592
pyridoxine 5-phosphate synthase	m__hmdb00626	0.117349846	0.91	0.10678836
streptococcus_parasanguinis	beta-ketoacyl-acyl-carrier-protein synthase ii	0.140016377	0.76	0.106412447
eubacterium_eligens	eubacterium_eligens	0.105726879	1	0.105726879
propionibacterium_acnes	preq1 synthase	0.162605375	0.65	0.105693494
aldose 1-epimerase	aldose 1-epimerase	0.105211135	1	0.105211135
haemophilus_parainfluenzae	haemophilus_parainfluenzae	0.105135006	1	0.105135006
